product_id,product_family,product_class,is_perishable
657869,GROCERY I,1004,0
664543,PERSONAL CARE,4126,0
664545,PERSONAL CARE,4126,0
692537,GROCERY I,1040,0
696183,BREAD/BAKERY,2702,1
723184,DAIRY,2116,1
724003,GROCERY I,1026,0
724498,GROCERY I,1028,0
730258,BEVERAGES,1122,0
732006,DELI,2642,1
759694,GROCERY I,1070,0
759893,CLEANING,3032,0
769312,CLEANING,3020,0
769314,CLEANING,3020,0
783243,GROCERY I,1016,0
801217,CLEANING,3034,0
804503,GROCERY I,1004,0
804932,BEVERAGES,1122,0
805310,BEVERAGES,1122,0
805321,GROCERY I,1060,0
807493,BEVERAGES,1124,0
807495,BEVERAGES,1124,0
809882,BREAD/BAKERY,2708,1
816606,PERSONAL CARE,4126,0
819932,BEVERAGES,1122,0
823245,BREAD/BAKERY,2708,1
828204,GROCERY I,1060,0
830797,GROCERY I,1074,0
833396,PERSONAL CARE,4126,0
838215,DAIRY,2124,1
838216,DAIRY,2124,1
838217,DAIRY,2124,1
838407,DAIRY,2124,1
838408,DAIRY,2124,1
839362,BEVERAGES,1124,0
839363,BEVERAGES,1124,0
839364,BEVERAGES,1124,0
841612,CLEANING,3038,0
841842,GROCERY I,1072,0
844017,DELI,2632,1
847863,GROCERY I,1058,0
848765,GROCERY I,1058,0
849098,DAIRY,2116,1
849142,DAIRY,2130,1
850333,GROCERY I,1084,0
850460,GROCERY I,1008,0
852110,CLEANING,3038,0
858872,BREAD/BAKERY,2704,1
862454,GROCERY I,1088,0
864508,GROCERY I,1048,0
864510,GROCERY I,1048,0
866927,DELI,2632,1
868529,GROCERY I,1088,0
870544,PERSONAL CARE,4126,0
870545,PERSONAL CARE,4126,0
876663,GROCERY I,1004,0
877513,CLEANING,3020,0
877514,CLEANING,3020,0
881911,GROCERY I,1042,0
881912,GROCERY I,1042,0
882624,DAIRY,2116,1
884878,BEVERAGES,1124,0
888763,DELI,2646,1
890213,GROCERY I,1026,0
898656,DAIRY,2116,1
903285,POULTRY,2416,1
903286,POULTRY,2416,1
938574,GROCERY I,1042,0
939207,DAIRY,2130,1
940591,CLEANING,3016,0
940592,CLEANING,3016,0
949243,PERSONAL CARE,4126,0
949296,CLEANING,3020,0
949297,CLEANING,3020,0
954796,GROCERY I,1094,0
956012,GROCERY I,1088,0
956013,GROCERY I,1088,0
956014,GROCERY I,1088,0
964752,GROCERY I,1088,0
964753,GROCERY I,1088,0
977007,CLEANING,3034,0
986193,BREAD/BAKERY,2702,1
987308,GROCERY I,1076,0
1004550,"LIQUOR,WINE,BEER",1318,0
1012787,GROCERY I,1012,0
1033395,BREAD/BAKERY,2702,1
1036689,GROCERY I,1040,0
1037845,GROCERY I,1022,0
1037846,GROCERY I,1022,0
1047674,BEVERAGES,1120,0
1047679,BEVERAGES,1120,0
1047680,BEVERAGES,1120,0
1047681,BEVERAGES,1120,0
1047685,BEVERAGES,1120,0
1047690,BEVERAGES,1120,0
1047753,BEVERAGES,1126,0
1047755,BEVERAGES,1126,0
1047756,BEVERAGES,1126,0
1047786,BEVERAGES,1126,0
1047790,BEVERAGES,1138,0
1052563,GROCERY I,1040,0
1057034,GROCERY I,1040,0
1066901,BEVERAGES,1136,0
1080021,GROCERY I,1022,0
1083152,DAIRY,2116,1
1083196,DAIRY,2116,1
1084417,GROCERY I,1048,0
1084437,GROCERY I,1074,0
1084881,GROCERY I,1040,0
1084882,GROCERY I,1040,0
1087269,PERSONAL CARE,4114,0
1096235,PERSONAL CARE,4114,0
1102268,PERSONAL CARE,4114,0
1104598,PERSONAL CARE,4114,0
1104599,PERSONAL CARE,4114,0
1105211,GROCERY I,1074,0
1105212,GROCERY I,1074,0
1109116,BEVERAGES,1120,0
1109325,BEVERAGES,1136,0
1109389,GROCERY I,1034,0
1114914,CLEANING,3038,0
1121615,DELI,2630,1
1138053,PERSONAL CARE,4114,0
1143685,BEVERAGES,1124,0
1146795,GROCERY I,1040,0
1146800,GROCERY I,1040,0
1146801,GROCERY I,1040,0
1146802,GROCERY I,1040,0
1146803,GROCERY I,1040,0
1148548,EGGS,2502,1
1157329,GROCERY I,1022,0
1157462,GROCERY I,1040,0
1157561,GROCERY I,1040,0
1157564,GROCERY I,1040,0
1159413,GROCERY I,1040,0
1159414,GROCERY I,1040,0
1159415,GROCERY I,1040,0
1159726,GROCERY I,1076,0
1160872,GROCERY I,1076,0
1160873,GROCERY I,1076,0
1161571,GROCERY I,1022,0
1162382,GROCERY I,1022,0
1164290,DAIRY,2116,1
1165987,GROCERY I,1028,0
1165988,GROCERY I,1028,0
1165989,GROCERY I,1028,0
1166475,BEVERAGES,1120,0
1173853,GROCERY I,1040,0
1222571,PERSONAL CARE,4114,0
1229025,PERSONAL CARE,4176,0
1239720,DAIRY,2152,1
1239795,DAIRY,2162,1
1239797,DAIRY,2162,1
1239808,DAIRY,2170,1
1239809,DAIRY,2170,1
1239810,DAIRY,2170,1
1239812,DAIRY,2170,1
1239815,DAIRY,2170,1
1239817,DAIRY,2170,1
1239818,DAIRY,2170,1
1239819,DAIRY,2170,1
1239852,POULTRY,2420,1
1239856,POULTRY,2420,1
1239860,POULTRY,2420,1
1239905,DAIRY,2172,1
1239906,DAIRY,2172,1
1239908,DAIRY,2172,1
1239911,DAIRY,2172,1
1239912,DAIRY,2172,1
1239913,DAIRY,2172,1
1239914,DAIRY,2172,1
1239918,DAIRY,2172,1
1246784,GROCERY I,1074,0
1254013,PERSONAL CARE,4114,0
1305845,DELI,2644,1
1306197,CLEANING,3020,0
1306198,CLEANING,3020,0
1313222,BREAD/BAKERY,2714,1
1313223,BREAD/BAKERY,2714,1
1321497,BREAD/BAKERY,2714,1
1324667,GROCERY I,1094,0
1328907,PERSONAL CARE,4114,0
1342003,GROCERY I,1014,0
1342006,GROCERY I,1014,0
1342009,GROCERY I,1014,0
1346625,CLEANING,3008,0
1346627,CLEANING,3008,0
1346628,CLEANING,3008,0
1346631,CLEANING,3008,0
1350565,BEVERAGES,1136,0
1351305,GROCERY I,1042,0
1354380,GROCERY I,1042,0
1354382,GROCERY I,1042,0
1354384,GROCERY I,1042,0
1371618,PERSONAL CARE,4114,0
1391549,GROCERY I,1076,0
1397061,BEVERAGES,1122,0
1400331,CLEANING,3016,0
1418022,GROCERY I,1026,0
1418845,GROCERY I,1004,0
1418846,GROCERY I,1004,0
1430040,BEVERAGES,1120,0
1445281,GROCERY I,1040,0
1457005,HOME CARE,3106,0
1457012,HOME CARE,3108,0
1457175,HOME CARE,3106,0
1457176,HOME CARE,3106,0
1457177,HOME CARE,3106,0
1457178,HOME CARE,3106,0
1457179,HOME CARE,3106,0
1457180,HOME CARE,3106,0
1457181,HOME CARE,3106,0
1457182,HOME CARE,3106,0
1457183,HOME CARE,3106,0
1457184,HOME CARE,3106,0
1457217,HOME CARE,3110,0
1457229,HOME CARE,3110,0
1457231,HOME CARE,3110,0
1457239,HOME CARE,3110,0
1457251,HOME CARE,3110,0
1458848,DAIRY,2166,1
1459058,GROCERY I,1022,0
1463767,BEVERAGES,1114,0
1463769,BEVERAGES,1114,0
1463770,BEVERAGES,1114,0
1463771,BEVERAGES,1114,0
1463773,BEVERAGES,1114,0
1463786,BEVERAGES,1116,0
1463787,BEVERAGES,1116,0
1463789,BEVERAGES,1116,0
1463797,BEVERAGES,1118,0
1463798,BEVERAGES,1118,0
1463807,BEVERAGES,1146,0
1463812,BEVERAGES,1148,0
1463820,BEVERAGES,1148,0
1463855,BEVERAGES,1148,0
1463857,BEVERAGES,1148,0
1463860,BEVERAGES,1148,0
1463862,BEVERAGES,1148,0
1463866,BEVERAGES,1148,0
1463867,BEVERAGES,1148,0
1463881,BEVERAGES,1144,0
1463885,BEVERAGES,1144,0
1463992,BEVERAGES,1144,0
1463993,BEVERAGES,1144,0
1464025,BEVERAGES,1148,0
1464045,BEVERAGES,1114,0
1464070,BEVERAGES,1190,0
1464071,BEVERAGES,1190,0
1464074,BEVERAGES,1190,0
1464076,BEVERAGES,1190,0
1464081,BEVERAGES,1190,0
1464086,BEVERAGES,1144,0
1464087,BEVERAGES,1144,0
1464092,BEVERAGES,1148,0
1464208,BEVERAGES,1114,0
1464209,BEVERAGES,1114,0
1464210,BEVERAGES,1114,0
1464217,BEVERAGES,1116,0
1464218,BEVERAGES,1116,0
1466047,BEVERAGES,1114,0
1473393,PRODUCE,2006,1
1473394,PRODUCE,2006,1
1473396,PRODUCE,2028,1
1473403,PRODUCE,2010,1
1473409,PRODUCE,2028,1
1473410,PRODUCE,2028,1
1473412,PRODUCE,2032,1
1473413,PRODUCE,2032,1
1473414,PRODUCE,2032,1
1473474,PRODUCE,2014,1
1473475,PRODUCE,2014,1
1473478,PRODUCE,2012,1
1473480,PRODUCE,2014,1
1473481,PRODUCE,2028,1
1473482,PRODUCE,2034,1
1473483,PRODUCE,2016,1
1473486,PRODUCE,2016,1
1489899,PRODUCE,2028,1
1501579,PRODUCE,2034,1
1501581,PRODUCE,2034,1
1502391,PRODUCE,2006,1
1503855,PRODUCE,2004,1
1503891,PRODUCE,2012,1
1584575,PRODUCE,2016,1
1584576,PRODUCE,2016,1
1609724,PRODUCE,2002,1
1625605,PRODUCE,2012,1
1642400,PRODUCE,2028,1
1642401,PRODUCE,2028,1
1642664,PRODUCE,2010,1
1693648,PRODUCE,2030,1
1695820,PRODUCE,2016,1
1695823,PRODUCE,2002,1
1695825,PRODUCE,2002,1
1695828,PRODUCE,2004,1
1695830,PRODUCE,2004,1
1695835,PRODUCE,2004,1
1695931,PRODUCE,2008,1
1695950,PRODUCE,2010,1
1696003,PRODUCE,2022,1
1696041,PRODUCE,2030,1
1707160,PRODUCE,2006,1
1751176,PRODUCE,2008,1
1913257,CLEANING,3032,0
1913258,CLEANING,3032,0
1913464,PRODUCE,2032,1
1916577,BREAD/BAKERY,2702,1
1920057,GROCERY I,1016,0
1920059,GROCERY I,1016,0
1930967,GROCERY I,1004,0
1932980,BREAD/BAKERY,2708,1
1936589,GROCERY I,1034,0
1943792,BEVERAGES,1114,0
1958166,BEVERAGES,1142,0
1958181,BEVERAGES,1142,0
1958185,BEVERAGES,1142,0
1958186,BEVERAGES,1142,0
1958216,BEVERAGES,1142,0
1958245,BEVERAGES,1142,0
1959817,CLEANING,3040,0
1963265,DAIRY,2174,1
1963277,DAIRY,2174,1
1963606,PERSONAL CARE,4114,0
1977887,DAIRY,2170,1
1977901,DAIRY,2170,1
1977997,DAIRY,2170,1
1978835,BREAD/BAKERY,2708,1
1991041,HOME CARE,3108,0
1998005,BREAD/BAKERY,2702,1
2001209,CLEANING,3040,0
2010329,GROCERY I,1072,0
2010511,GROCERY I,1032,0
2010902,GROCERY I,1072,0
2010916,GROCERY I,1032,0
2011220,GROCERY I,1032,0
2011259,GROCERY I,1032,0
2011872,GROCERY I,1084,0
2013086,BEVERAGES,1124,0
2013651,GROCERY I,1010,0
2018397,BEVERAGES,1124,0
2019084,GROCERY I,1028,0
2026444,GROCERY I,1034,0
2026454,GROCERY I,1034,0
2026650,GROCERY I,1034,0
2026801,GROCERY I,1060,0
2026945,GROCERY I,1034,0
2026983,GROCERY I,1034,0
2028696,BEVERAGES,1118,0
2042436,BEVERAGES,1122,0
2042941,BEVERAGES,1148,0
2042947,BEVERAGES,1148,0
2048271,GROCERY I,1016,0
2048300,GROCERY I,1016,0
2048515,GROCERY I,1016,0
2048609,GROCERY I,1016,0
2048624,GROCERY I,1016,0
